"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461163006202522259_id.ret"
""
"Cadastrado título novo: 9000008655 3072 - BAKELS BRASIL INGRED 31/07/2025 RG 307,02 0"
"Pago título: 2500006038 7906 - TRANENGE CONSTRUCOES 30/06/2025 LQ 418,22 418,22"
"Pago título: 2500006073 1246 - CLUBE JUNDIAIENSE 30/06/2025 LQ 416,35 416,35"
"Pago título: 2500006101 6966 - TONINPAR EMPREENDIME 30/06/2025 LQ 413,63 413,63"
"Pago título: 2500006122 2083 - HANIER ESPECIALIDADE 30/06/2025 LQ 408,41 408,41"
"Pago título: 2500006136 1459 - CIA SANEAMENTO BASIC 30/06/2025 LQ 407,99 407,99"
"Pago título: 2500006150 938 - MIRACEMA NUODEX INDUS 30/06/2025 LQ 406,99 406,99"
"Pago título: 2500006164 2773 - SOCIEDADE DE ARMAZEN 30/06/2025 LQ 402,99 402,99"
"Pago título: 2500006185 1456 - ASSOC DOS PROP DO LO 30/06/2025 LQ 397,31 397,31"
"Pago título: 2500006206 1465 - BBC INDUSTRIA E COME 30/06/2025 LQ 386,1 386,1"
"Pago título: 2500006213 5694 - R BOQUINO TRANSPORTE 30/06/2025 LQ 384,46 384,46"
"Pago título: 2500006241 1813 - MAXLAV LAVANDERIA ES 30/06/2025 LQ 379,54 379,54"
"Pago título: 2500006255 265 - ADERE PRODUTOS AUTOAD 30/06/2025 LQ 377,59 377,59"
"Pago título: 2500006262 1477 - JETFIO INDUSTRIA TEX 30/06/2025 LQ 377,22 377,22"
"Pago título: 2500006276 5487 - ASSOC DOS PROPR DE L 30/06/2025 LQ 376,44 376,44"
"Pago título: 2500006290 426 - RUY R DA ROCHA PRODUT 30/06/2025 LQ 376,44 376,44"
"Pago título: 2500006318 545 - SOCIEDADE DE PROPRIET 30/06/2025 LQ 376,36 376,36"
"Pago título: 2500006325 2901 - AGUA RICA LTDA 30/06/2025 LQ 374,06 374,06"
"Pago título: 2500006332 3221 - LIMEIRENSE FERTILIZA 30/06/2025 LQ 370,06 370,06"
"Pago título: 2500006339 2665 - ASSOC DOS PROPRIET D 30/06/2025 LQ 369,44 369,44"
"Pago título: 2500006360 5545 - COOPERATIVA VEILING 30/06/2025 LQ 365,14 365,14"
"Pago título: 2500006388 69 - PLASTEK DO BRASIL INDU 30/06/2025 LQ 363,26 363,26"
"Pago título: 2500006409 3694 - SANDMIX MINERACAO LT 30/06/2025 LQ 357,49 357,49"
"Pago título: 2500006423 2172 - FARMINA PET FOODS BR 30/06/2025 LQ 356,65 356,65"
"Pago título: 2500006437 1591 - TQA INDUSTRIA E COME 30/06/2025 LQ 355,52 355,52"
"Pago título: 2500006451 46 - ASSOCIACAO DE MORADORE 30/06/2025 LQ 355,51 355,51"
"Pago título: 2500006479 182 - UNIPEL INDUSTRIA E CO 30/06/2025 LQ 345,95 345,95"
"Pago título: 2500006514 5323 - ERCA INDUSTRIA E COM 30/06/2025 LQ 341,07 341,07"
"Pago título: 2500006542 4869 - ASSOCIACAO DOS MORAD 30/06/2025 LQ 338,79 338,79"
"Pago título: 2500006584 3327 - INPAR PROJETO 86 SPE 30/06/2025 LQ 335,97 335,97"
"Pago título: 2500006598 985 - CONDOMINIO FAZENDA DU 30/06/2025 LQ 335,06 335,06"
"Pago título: 2500006661 1122 - PPC SANTANA EQUIPAME 30/06/2025 LQ 333,42 333,42"
"Pago título: 2500006668 3480 - MEDI HOUSE IND E COM 30/06/2025 LQ 332,65 332,65"
"Pago título: 2500006682 3366 - TECHIMPORT TECNOLOGI 30/06/2025 LQ 331,34 331,34"
"Pago título: 2500006710 7704 - ASS DOS PROPRIETARIO 30/06/2025 LQ 326,88 326,88"
"Pago título: 2500006717 2745 - CONDOMINIO DO SHOPPI 30/06/2025 LQ 326,43 326,43"
"Pago título: 2500006724 3663 - ASSOCIACAO DOS ADQ L 30/06/2025 LQ 326,2 326,2"
"Pago título: 2500006731 3397 - PREFEITURA MUNICIPAL 30/06/2025 LQ 325,39 325,39"
"Pago título: 2500006738 7715 - CHT BRASIL QUIMICA L 30/06/2025 LQ 324,87 324,87"
"Pago título: 2500006752 2094 - ASSOCIACAO DE PROPRI 30/06/2025 LQ 323,16 323,16"
"Pago título: 2500006766 3323 - HORTOLANDIA INCORPOR 30/06/2025 LQ 322,72 322,72"
"Pago título: 2500006787 7826 - SANT ANA ANALANDIA E 30/06/2025 LQ 321,34 321,34"
"Pago título: 2500006808 852 - ECOFABRIL INDUSTRIA E 30/06/2025 LQ 317,98 317,98"
"Pago título: 2500006864 7843 - CERAMICA ALMEIDA LTD 30/06/2025 LQ 313,67 313,67"
"Pago título: 2500006871 7878 - CINEXPAN IND E COMER 30/06/2025 LQ 313,67 313,67"
"Pago título: 2500006885 1144 - ASSOCIACAO PROPRIET 30/06/2025 LQ 313,67 313,67"
"Pago título: 2500006948 1313 - KIKKOMAN DO BRASIL I 30/06/2025 LQ 302,09 302,09"
"Pago título: 2500006976 7126 - ASSOCIACAO DOS PROPR 30/06/2025 LQ 301,14 301,14"
"Pago título: 2500006983 3514 - CERAMICA GRESCA G3 L 30/06/2025 LQ 301,14 301,14"
"Pago título: 2500006990 5805 - QUIBRITA MINERADORA 30/06/2025 LQ 300,79 300,79"
"Pago título: 2500006997 1675 - ASSOCIACAO DOS MORAD 30/06/2025 LQ 298,64 298,64"
"Pago título: 2500007032 3679 - CMR INDUSTRIA E COME 30/06/2025 LQ 294,69 294,69"
"Pago título: 2500007053 68 - ASSOCIACAO GREEN VILLA 30/06/2025 LQ 293,93 293,93"
"Pago título: 2500007060 7896 - ASSOC DOS PROP DO LO 30/06/2025 LQ 293,62 293,62"
"Pago título: 2500007088 1976 - SOL INVEST EMPREENDI 30/06/2025 LQ 291,13 291,13"
"Pago título: 2500007095 2814 - REAL INDUSTRIA E COM 30/06/2025 LQ 290,83 290,83"
"Pago título: 2500007109 523 - CONDOMINIO RESIDENCIA 30/06/2025 LQ 289,62 289,62"
"Pago título: 2500007123 7885 - ASSOC DOS PROPRIETAR 30/06/2025 LQ 289,02 289,02"
"Pago título: 2500007130 6366 - SOCIEDADE AGOSTINIAN 30/06/2025 LQ 288,82 288,82"
"Pago título: 2500007158 7835 - ASSOC DOS PROPRIETAR 30/06/2025 LQ 287,59 287,59"
"Pago título: 2500007165 1830 - SUOMINEN BRASIL INDU 30/06/2025 LQ 285,89 285,89"
"Pago título: 2500007186 3 - CONDOMINIO RESIDENCIAL 30/06/2025 LQ 281,36 281,36"
"Pago título: 2500007193 1990 - PEDREIRA FAZENDA VEL 30/06/2025 LQ 280,2 280,2"
"Pago título: 2500007221 7877 - ASSOCIACAO PARQUE RE 30/06/2025 LQ 271,83 271,83"
"Pago título: 2500007228 4385 - MATEUS CAVALCANTI IZ 30/06/2025 LQ 271,83 271,83"
"Pago título: 2500007235 2962 - CONDOMINIO VITORIA D 30/06/2025 LQ 271 271"
"Pago título: 2500007242 1603 - OLIVEIRA  LOPES LTDA 30/06/2025 LQ 269,77 269,77"
"Pago título: 2500007249 4827 - BOM PEIXE INDUSTRIA 30/06/2025 LQ 267,69 267,69"
"Pago título: 2500007270 7804 - ASSOC DOS PROP DE LO 30/06/2025 LQ 263,11 263,11"
"Pago título: 2500007284 7895 - MPW ASSESSORIA EM LA 30/06/2025 LQ 257,32 257,32"
"Pago título: 2500007291 2575 - LUBRASIL LUBRIFICANT 30/06/2025 LQ 256,26 256,26"
"Pago título: 2500007298 1033 - CCS TECNOLOGIA E SER 30/06/2025 LQ 255,46 255,46"
"Pago título: 2500007305 149 - GREEN GOLF CLUB 30/06/2025 LQ 254,84 254,84"
"Pago título: 2500007319 3720 - JL PAULO  CIA LTDA 30/06/2025 LQ 253,56 253,56"
"Pago título: 2500007326 7754 - MAT EQUIPAMENTOS PAR 30/06/2025 LQ 253,06 253,06"
"Pago título: 2500007375 3107 - RUY R DA ROCHA PRODU 30/06/2025 LQ 250,96 250,96"
"Pago título: 2500007382 73 - NARDINI PISOS E REVEST 30/06/2025 LQ 250,96 250,96"
"Pago título: 2500007389 4356 - CONDOMINIO RESIDENCI 30/06/2025 LQ 250,96 250,96"
"Pago título: 2500007396 7863 - VF 16 ELDORADO SPE L 30/06/2025 LQ 250,96 250,96"
"Pago título: 2500007410 1173 - MASTERCOR BENEFICIAM 30/06/2025 LQ 250,76 250,76"
"Pago título: 2500007424 183 - TEXTIL BASSETO LTDA 30/06/2025 LQ 248,78 248,78"
"Pago título: 2500007452 4485 - PARQUE DOS EUCALIPTO 30/06/2025 LQ 246,56 246,56"
"Pago título: 2500007494 1609 - GRANITEC IND E COM D 30/06/2025 LQ 244,35 244,35"
"Pago título: 2500007522 7860 - R  S EMPREENDIMENTOS 30/06/2025 LQ 242,57 242,57"
"Pago título: 2500007529 7864 - PEDREIRA FAZENDA VEL 30/06/2025 LQ 241,5 241,5"
"Pago título: 2500007536 5606 - AROMA BIOENERGIA LTD 30/06/2025 LQ 241,18 241,18"
"Pago título: 2500007550 896 - PREFEITURA MUNICIPAL 30/06/2025 LQ 239,13 239,13"
"Pago título: 2500007557 7822 - ASSOC CONDOMINIOS RE 30/06/2025 LQ 239,09 239,09"
"Pago título: 2500007592 3097 - CISOL DO BRASIL EXPO 30/06/2025 LQ 230,57 230,57"
"Pago título: 2500007606 604 - ASSOCIACAO RESIDENCIA 30/06/2025 LQ 230,03 230,03"
"Pago título: 2500007613 2168 - EMEPE INDUSTRIA GRAF 30/06/2025 LQ 230,03 230,03"
"Pago título: 2500007627 3994 - ASSOCIACAO RESERVA D 30/06/2025 LQ 225,84 225,84"
"Pago título: 2500007634 5303 - ASSOCIACAO DOS MORAD 30/06/2025 LQ 225,84 225,84"
"Pago título: 2500007648 4479 - PERFORM PARTICIPACOE 30/06/2025 LQ 225,64 225,64"
"Pago título: 2500007676 202 - NOVA PLAST IND E COM 30/06/2025 LQ 224,65 224,65"
"Pago título: 2500007690 2196 - ASSOCIACAO CIVIL PAR 30/06/2025 LQ 223,22 223,22"
"Pago título: 2500007718 7711 - PAULO SETUBAL NETO 30/06/2025 LQ 220,84 220,84"
"Pago título: 2500007739 2082 - COLORFLEX ESTAMPARIA 30/06/2025 LQ 219,65 219,65"
"Pago título: 2500007746 7027 - ETIQUETTA BRANCA IND 30/06/2025 LQ 218,86 218,86"
"Pago título: 2500007753 1130 - BRASALIMENT INDUSTRI 30/06/2025 LQ 218,23 218,23"
"Pago título: 2500007760 3540 - COMERCIAL DE ALIMENT 30/06/2025 LQ 217,72 217,72"
"Pago título: 2500007767 1077 - DP  LF TRANSPORTES L 30/06/2025 LQ 214,53 214,53"
"Pago título: 2500007774 1870 - MALIBER INDUSTRIA E 30/06/2025 LQ 213,32 213,32"
"Pago título: 2500007781 7740 - ASSOC DOS MORADORES 30/06/2025 LQ 212,81 212,81"
"Pago título: 2500007844 3212 - PEDREIRA NOGUEIRENSE 30/06/2025 LQ 209,11 209,11"
"Pago título: 2500007858 2881 - SERVICO DE AGUA E ES 30/06/2025 LQ 209,11 209,11"
"Pago título: 2500007893 5492 - BUONO GEL INDUSTRIA 30/06/2025 LQ 209,11 209,11"
"Pago título: 2500007900 2028 - TERMOTECNICA LTDA 30/06/2025 LQ 209,11 209,11"
"Pago título: 2500007907 3094 - RENATO PASSARIN  FIL 30/06/2025 LQ 209,09 209,09"
"Pago título: 2500007921 5575 - FONTE GELO LTDA 30/06/2025 LQ 208,89 208,89"
"Pago título: 2500007928 7879 - TECTEXTIL EMBALAGENS 30/06/2025 LQ 208,87 208,87"
"Pago título: 2500007949 5491 - BREW CENTER CERVEJAS 30/06/2025 LQ 206,52 206,52"
"Pago título: 2500007991 1308 - INDUSTRIA DE BEBIDAS 30/06/2025 LQ 203,31 203,31"
"Pago título: 2500007998 4132 - MRGM PARTICIPACOES E 30/06/2025 LQ 203,29 203,29"
"Pago título: 2500008012 7910 - CONDOMINIO RESIDENCI 30/06/2025 LQ 202,78 202,78"
"Pago título: 2500008033 5449 - CONDOMINIO HOTEL INT 30/06/2025 LQ 200,78 200,78"
"Pago título: 2500008047 2069 - TRANSPORTES 21 LTDA 30/06/2025 LQ 200,78 200,78"
"Pago título: 2500008053 2069 - TRANSPORTES 21 LTDA 19/12/2025 LQ 200,75 200,75"
"Pago título: 9000008120 1105 - RECAM RC LTDA 30/06/2025 LQ 2012,77 2012,77"
"Pago título: 9000008293 2170 - ISOTERM INDUSTRIA E 30/06/2025 LQ 784,09 784,09"
"Pago título: 9000008306 5168 - NEWPOP INDUSTRIA QUI 30/06/2025 LQ 530,35 530,35"
"Pago título: 9000008425 826 - DEPARTAMENTO AUTONOMO 30/06/2025 LQ 90000 90000"
"Pago título: 9000008465 2901 - AGUA RICA LTDA 30/06/2025 LQ 517,22 517,22"
"Pago título: 9000008526 3644 - IBG CRYO INDUSTRIA D 30/06/2025 LQ 900,88 900,88"
"Pago título: 9000008536 5694 - R. BOQUINO TRANSPORT 30/06/2025 LQ 2106,98 2106,98"
"Pago título: 9000008590 7299 - UNIQUE GARDEN EMPREE 30/06/2025 LQ 487,47 487,47"
"Pago título: 9000008594 5459 - SANDRO CAMARGO 30/06/2025 LQ 287,41 287,41"
"Pago título: 9000008619 7875 - CONDOMINIO NOBILE 30/06/2025 LQ 248,99 248,99"
"Pago título: 9000008620 3327 - INPAR PROJETO 86 SPE 30/06/2025 LQ 655,89 655,89"
"Pago título: 9000008624 5416 - ZARAPLAST S.A 30/06/2025 LQ 4772,17 4772,17"
"Pago título: 9000008628 2244 - SEARA ALIMENTOS S/A 30/06/2025 LQ 213,39 213,39"
"Pago título: 9000008629 5608 - ASSOCIACAO DE MORADO 30/06/2025 LQ 271,76 271,76"
"Pago título: 9000008634 2033 - CENTRO HOSPITALAR VA 30/06/2025 LQ 293,15 293,15"
"Pago título: 9000008635 1605 - RONALDO MOISES 30/06/2025 LQ 487,47 487,47"
"Pago título: 9000008637 7754 - MAT EQUIPAMENTOS PAR 30/06/2025 LQ 1946,97 1946,97"
"Pago título: 9000008639 2294 - COMFRIO SOLUCOES LOG 30/06/2025 LQ 487,47 487,47"
"Pago título: 9000008640 3182 - COMFRIO SOLUCOES LOG 30/06/2025 LQ 470,31 470,31"
"Pago título: 9000008642 3634 - CELLERA FARMACEUTICA 30/06/2025 LQ 413,1 413,1"
"Pago título: 9000008650 3172 - LOG COMMERCIAL PROPE 30/06/2025 LQ 221,45 221,45"
"ERRO! Operação desconhecida: 2500000035 964 - TIGRE MATERIAIS E SOL 04/07/2025 VC 3744,54 0"
"ERRO! Operação desconhecida: 2500000038 3951 - ARCELORMITTAL SA 11/07/2025 VC 3454,64 0"
"ERRO! Operação desconhecida: 2500000046 1946 - ARCELOR MITTAL BRASI 11/07/2025 VC 3120,89 0"
"ERRO! Operação desconhecida: 2500000060 1713 - JACOBS DOUWE EGBERTS 04/07/2025 VC 2473,91 0"
"ERRO! Operação desconhecida: 2500000079 104 - SCHOLLE LTDA 04/07/2025 VC 1873,71 0"
"ERRO! Operação desconhecida: 2500000115 1882 - CONDOMINIO MAXI SHOP 04/07/2025 VC 1299,43 0"
"ERRO! Operação desconhecida: 2500000116 3894 - LUXOTTICA BRASIL PRO 04/07/2025 VC 1259,01 0"
"ERRO! Operação desconhecida: 2500000131 1898 - KERRY DO BRASIL LTDA 04/07/2025 VC 1127,15 0"
"ERRO! Operação desconhecida: 2500000188 2436 - CROMOQUIM PRODUTOS T 04/07/2025 VC 712,26 0"
"ERRO! Operação desconhecida: 2500000291 1599 - LUIZ GUILHERME SARTO 04/07/2025 VC 392,75 0"
"ERRO! Operação desconhecida: 2500000293 1702 - TECNOLITE PRODUTOS T 04/07/2025 VC 390,4 0"
"ERRO! Operação desconhecida: 2500000339 2351 - SPEL EMBALAGENS LTDA 04/07/2025 VC 365,96 0"
"ERRO! Operação desconhecida: 2500000419 4833 - FACE EMPREENDIMENTOS 04/07/2025 VC 322,05 0"
"ERRO! Operação desconhecida: 2500000423 2288 - HONDA LOCK SAO PAULO 04/07/2025 VC 322,05 0"
"ERRO! Operação desconhecida: 2500000438 3256 - FRONT RUBBER ARTEFAT 04/07/2025 VC 316,19 0"
"ERRO! Operação desconhecida: 2500000449 4240 - UNIMIL IND E COM DE 04/07/2025 VC 309,64 0"
"ERRO! Operação desconhecida: 2500000557 3437 - ASSOCIACAO DOS MORAD 04/07/2025 VC 278,13 0"
"ERRO! Operação desconhecida: 2500000558 3305 - HMY DO BRASIL LTDA 04/07/2025 VC 277,61 0"
"ERRO! Operação desconhecida: 2500000608 3617 - HOSPITAL SAMARITANO 04/07/2025 VC 262,6 0"
"ERRO! Operação desconhecida: 2500000663 2480 - ONDAPEL SA INDUSTRIA 04/07/2025 VC 243,33 0"
"ERRO! Operação desconhecida: 2500000944 866 - TEXTIL ASSEF MALUF LT 07/07/2025 VC 139,26 0"
"ERRO! Operação desconhecida: 2500000970 3940 - RECUPERACAO E COMERC 04/07/2025 VC 120,84 0"
"ERRO! Operação desconhecida: 2500001071 3830 - CONDOMINIO RESIDENCI 04/07/2025 VC 292,76 0"
"ERRO! Operação desconhecida: 2500001151 7868 - LINCOLN ELECTRIC DO 10/07/2025 VC 269,27 0"
"ERRO! Operação desconhecida: 2500001291 2577 - ESPORTE CLUBE BARBAR 04/07/2025 VC 237,75 0"
"ERRO! Operação desconhecida: 2500001329 2811 - ASSOCIACAO DOS PROPR 04/07/2025 VC 228,28 0"
"ERRO! Operação desconhecida: 2500001353 840 - UNIFRAX BRASIL LTDA 04/07/2025 VC 219,87 0"
"ERRO! Operação desconhecida: 2500001513 277 - LINHASITA INDUSTRIA D 04/07/2025 VC 202,97 0"
"ERRO! Operação desconhecida: 2500001523 2042 - CATION INDUSTRIA E C 04/07/2025 VC 200,66 0"
"ERRO! Operação desconhecida: 2500001582 5618 - ASSOCIACAO DE PROPRI 04/07/2025 VC 253,73 0"
"ERRO! Operação desconhecida: 2500001711 3527 - CARFAM EMPREENDIMENT 04/07/2025 VC 238,55 0"
"ERRO! Operação desconhecida: 2500001789 3882 - SOCIEDADE MELHORAMEN 04/07/2025 VC 229,15 0"
"ERRO! Operação desconhecida: 2500001810 451 - VOLKSWAGEN DO BRASIL 04/07/2025 VC 226,28 0"
"ERRO! Operação desconhecida: 2500001894 7767 - CONDOMINIO PANORAMA 04/07/2025 VC 215,67 0"
"ERRO! Operação desconhecida: 2500002010 3827 - STAVIAS SATANOSKI TE 04/07/2025 VC 246,63 0"
"ERRO! Operação desconhecida: 2500002426 7710 - WLM PART E COMERCIO 04/07/2025 VC 201,27 0"
"ERRO! Operação desconhecida: 2500002773 413 - INDUSTRIAS ROMI SA 04/07/2025 VC 202,87 0"
"ERRO! Operação desconhecida: 2500003199 2943 - VTR VETOR EQUIPAMENT 07/07/2025 VC 202,94 0"
"ERRO! Operação desconhecida: 2500003280 826 - DEPARTAMENTO AUTONOMO 10/07/2025 VC 101727,35 0"
"ERRO! Operação desconhecida: 2500003896 1195 - TEXTIL CANATIBA LTDA 04/07/2025 VC 2467,23 0"
"ERRO! Operação desconhecida: 2500003924 1087 - TOYOTA DO BRASIL LTD 04/07/2025 VC 2295,08 0"
"ERRO! Operação desconhecida: 2500004008 3644 - IBG CRYO INDUSTRIA D 30/06/2025 VC 2127,15 0"
"ERRO! Operação desconhecida: 2500004036 462 - AD ORO SA 04/07/2025 VC 2012,74 0"
"ERRO! Operação desconhecida: 2500004043 1194 - TEXTIL CANATIBA LTDA 04/07/2025 VC 1972,76 0"
"ERRO! Operação desconhecida: 2500004456 1143 - CASTELO ALIMENTOS SA 04/07/2025 VC 1145,48 0"
"ERRO! Operação desconhecida: 2500004568 1145 - JOBEMA DISTRIBUIDORA 04/07/2025 VC 1044,65 0"
"ERRO! Operação desconhecida: 2500005009 1193 - TEXTIL CANATIBA LTDA 04/07/2025 VC 745,02 0"
"ERRO! Operação desconhecida: 2500005205 2139 - INDUSTRIAS ROMI SA 04/07/2025 VC 641,89 0"
"ERRO! Operação desconhecida: 2500005226 2331 - STONE BUILDING INDUS 04/07/2025 VC 639,2 0"
"ERRO! Operação desconhecida: 2500005709 5040 - CONDOMINIO GARNET 04/07/2025 VC 501,86 0"
"ERRO! Operação desconhecida: 2500005779 844 - COIM BRASIL LTDA 04/07/2025 VC 477,51 0"
"ERRO! Operação desconhecida: 2500005828 3453 - CERAMICA SAVANE LTDA 04/07/2025 VC 457,72 0"
"ERRO! Operação desconhecida: 2500006444 7871 - ASS PROP LOT CONDOMI 04/07/2025 VC 355,52 0"
"ERRO! Operação desconhecida: 2500006689 3336 - CONDOMINIO RESIDENCI 04/07/2025 VC 329,81 0"
"ERRO! Operação desconhecida: 2500006878 7768 - ASSOC DOS PROPRIETAR 04/07/2025 VC 313,67 0"
"ERRO! Operação desconhecida: 2500007711 2140 - INDUSTRIAS ROMI SA 04/07/2025 VC 221,38 0"
"ERRO! Operação desconhecida: 2500007809 3328 - EXPRESSO CAMPIBUS LT 04/07/2025 VC 210,19 0"
"ERRO! Operação desconhecida: 2500008026 4315 - AGE DO BRASIL INDUST 04/07/2025 VC 200,78 0"
"ERRO! Operação desconhecida: 2500008054 3271 - ASSOCIACAO DOS PROPR 04/07/2025 VC 200,78 0"
